"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902895","GO:1902895","positive regulation of miRNA transcription","20/1803","56/18860",0.357142857142857,3.73583709690199,6.66599517934462,9.80222052897932e-08,0.000393201348210321,0.000366144481148966,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NR1H2/PAX6/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1",20
"GO:0007051","GO:0007051","spindle organization","45/1803","209/18860",0.215311004784689,2.25222714932847,5.91849201912709,1.54634674606341e-07,0.000393201348210321,0.000366144481148966,"AFG2B/ARHGEF10/BCCIP/CCNB1/CEP192/CEP63/CEP72/CHD3/CHMP2B/CHMP5/CHMP7/DYNC1H1/EFHC1/EML1/FSD1/GNAI1/GPSM2/KASH5/KIF11/KIF2A/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NTMT1/PARP3/PKD1/PLK3/PTPA/RAE1/RAN/RCC1/RHOA/RNF4/SKA1/SPAST/SPC25/TACC1/TUBB/TUBG1/TUBG2/TUBGCP3/TUBGCP4/UHRF1",45
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","79/1803","461/18860",0.171366594360087,1.79255350506447,5.60128683415234,2.06513313135673e-07,0.000393201348210321,0.000366144481148966,"ACTB/ACVR1B/ANAPC11/ANLN/APC/ARID1B/ATM/BABAM2/BCL7A/BRSK1/BUB3/CALM3/CCNB1/CCND1/CCNF/CDC14A/CDC25B/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDKN2C/CENPF/CHMP7/CKS2/CPSF3/DACT1/DNM2/DPF2/DTL/EIF4EBP1/FBXL15/FZR1/GEN1/HASPIN/ID2/INTS3/KDM8/KHDRBS1/KLF4/KNL1/MARK3/MEPCE/MYB/NABP2/NEK6/NSMCE2/PABIR1/PIAS1/PKD1/PKD2/PLK3/PPM1D/PPME1/PPP2R2D/RBBP8/RBL2/RCC1/SENP2/SKA1/SMARCA4/SMC5/SPAST/SPC25/SPDL1/TAOK1/TAOK2/TAOK3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIM39/UBE2E2/USP38/WAC/ZFYVE19",79
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","38/1803","170/18860",0.223529411764706,2.33819451241395,5.69829492983498,5.20344655219641e-07,0.000695160199995413,0.000647325020377566,"AFG2B/ARHGEF10/BCCIP/CCNB1/CDK1/CENPA/CEP192/CHMP2B/CHMP5/CHMP7/DYNC1H1/EFHC1/EML1/FSD1/GNAI1/GPSM2/KIF11/KIF2A/MYBL2/NDEL1/NEK6/PAFAH1B1/PARP3/PAX6/PKD1/PLK3/PTPA/RAE1/RAN/RCC1/RHOA/SPAST/SPC25/SPDL1/TACC1/TUBG1/TUBG2/UHRF1",38
"GO:0007059","GO:0007059","chromosome segregation","74/1803","434/18860",0.170506912442396,1.78356093658547,5.3691801621813,6.08508578427357e-07,0.000695160199995413,0.000647325020377566,"ACTB/ANAPC11/APC/ARHGEF10/ARID1B/ATM/BCCIP/BCL7A/BUB3/CCDC86/CCNB1/CDC42/CDC6/CDK1/CDT1/CENPF/CENPN/CENPO/CEP192/CEP63/CHMP2B/CHMP5/CHMP7/DPF2/DYNC1H1/EML4/GEN1/GPSM2/HASPIN/KASH5/KIF11/KIF2A/KNL1/MAEL/MAPRE2/MAPRE3/MCMDC2/MIS12/MLH1/MSH4/MSH5/MYBL2/NCAPH/NDEL1/NEK6/NSMCE2/NTMT1/PPP2R2D/PRDM9/RAB24/RAN/RCC1/RHOA/RNF4/SEH1L/SIRT7/SKA1/SMARCA4/SMARCA5/SMC4/SMC5/SPC25/SPDL1/SPO11/STAG3/TENT4A/TOP1/TUBB/TUBG1/TUBG2/TUBGCP3/TUBGCP4/UBE2I/UHRF1",74
"GO:1902893","GO:1902893","regulation of miRNA transcription","22/1803","75/18860",0.293333333333333,3.06836753558883,5.83523852834144,1.14954091559208e-06,0.000869909567708464,0.000810049580869613,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NFATC3/NR1H2/PAX6/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/YY1",22
"GO:0007052","GO:0007052","mitotic spindle organization","32/1803","137/18860",0.233576642335766,2.44329199914174,5.51229736590906,1.46388551209727e-06,0.000869909567708464,0.000810049580869613,"AFG2B/ARHGEF10/BCCIP/CCNB1/CEP192/CHMP2B/CHMP5/CHMP7/DYNC1H1/EFHC1/EML1/FSD1/GNAI1/GPSM2/KIF11/KIF2A/MYBL2/NEK6/PARP3/PKD1/PLK3/PTPA/RAE1/RAN/RCC1/RHOA/SPAST/SPC25/TACC1/TUBG1/TUBG2/UHRF1",32
"GO:0061614","GO:0061614","miRNA transcription","22/1803","76/18860",0.289473684210526,3.02799427854161,5.75950753328835,1.4729918740697e-06,0.000869909567708464,0.000810049580869613,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NFATC3/NR1H2/PAX6/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/YY1",22
"GO:0031122","GO:0031122","cytoplasmic microtubule organization","20/1803","65/18860",0.307692307692308,3.21856734502325,5.82524235426762,1.52295092385936e-06,0.000869909567708464,0.000810049580869613,"CLIP4/CRIPT/DVL1/DYNC1H1/FSD1/HOOK1/HOOK2/HOOK3/KANK1/MAPT/PAFAH1B1/PLK3/PPFIBP1/RHOA/SLK/TBCB/TUBG1/TUBG2/TUBGCP3/TUBGCP4",20
"GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","20/1803","65/18860",0.307692307692308,3.21856734502325,5.82524235426762,1.52295092385936e-06,0.000869909567708464,0.000810049580869613,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NR1H2/PAX6/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1",20
