"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","GO:0007409","axonogenesis","175/4700","472/18860",0.370762711864407,1.48778398846015,6.18312355309825,2.03283961142263e-09,8.94838161305104e-06,7.31423338392036e-06,"ABL1/ABLIM1/ACTB/ADCY1/ANAPC2/ANK3/APLP1/ARHGAP35/ARHGEF28/ARK2C/ARTN/ATL1/ATOH1/ATP8A2/AUTS2/B3GNT2/BAIAP2/BCL11B/BMPR2/BOC/BRSK1/BRSK2/BSG/CDH4/CDHR2/CDK5R1/CNP/CNTN4/CNTNAP1/CREB1/CTNNA2/CTTN/CYFIP1/CYFIP2/DAG1/DISC1/DNM2/DPYSL5/DRAXIN/DVL1/ECE1/EDN3/EDNRA/EFNA1/EFNA2/EFNA3/EPHA6/EPHA8/EPHB1/EPHB2/EPHB3/EPHB6/ERBB2/ETV1/FBXO45/FGF8/FLRT2/FOXG1/FZD3/GDF7/GLI2/GOLGA4/IFRD1/ISL1/ISLR2/ITGA4/ITGB1/KALRN/KIF13B/KIFC2/LAMB2/LHX1/LHX2/LHX9/LIMK1/LLGL1/LMO4/MACF1/MAP1A/MAPT/MARK2/MEGF8/MT3/MYH10/NCAM1/NDEL1/NEO1/NFASC/NGFR/NKX2-1/NOG/NOTCH1/NOTCH3/NPR2/NR2E1/NR4A3/NRP2/NRXN1/NRXN3/NTN1/NTNG1/NTNG2/NTRK1/NTRK2/NUMBL/OLFM1/PAFAH1B1/PALLD/PARD6B/PAX2/PCDHAC2/PLEKHG4/PLEKHG4B/PLXNC1/PLXND1/POTEE/POTEJ/POU4F2/PRDM8/PRICKLE1/PRKCA/PRKG1/PTCH1/PTEN/PTK7/PTPRJ/PTPRM/PTPRO/PTPRZ1/RAB10/RAB8A/RAC1/RAC3/RET/RGMA/RND2/ROBO3/RUFY3/SCN1B/SEMA3B/SEMA3E/SEMA3F/SEMA4B/SEMA4F/SEMA6D/SHH/SIPA1L1/SKIL/SLIT2/SMAD4/SPAST/SPTBN4/SSNA1/STK11/STXBP1/SYNGAP1/TAOK2/TBR1/TGFB2/TRAK1/TRIM46/TRIO/TRPV2/TSKU/TTL/TUBB3/ULK1/UNC5B/VASP/VAX2/VEGFA/WNT3A/WNT5A/ZDHHC17/ZFYVE27",175
"GO:0072657","GO:0072657","protein localization to membrane","170/4700","458/18860",0.37117903930131,1.48945461302611,6.10926950935832,3.1380811019657e-09,8.94838161305104e-06,7.31423338392036e-06,"ABHD17A/ACSL3/ACTB/AGRN/AKAP5/AKT2/ANK3/AP2M1/AP3D1/AP4M1/APPL1/ARF6/ARFRP1/ARHGAP44/ARL13B/ATP1B1/ATP1B3/ATP2B4/ATP2C1/ATP2C2/BAG4/BSG/CACNA2D2/CACNB2/CACNB3/CAPN3/CAV1/CLTC/CNIH3/CNPY4/CNST/COMMD1/CPLX1/CRIPT/CSK/CYP46A1/DAG1/DENND4C/DNAJA3/DOK7/DPP10/DPP6/DVL1/EFR3A/EFR3B/EHD2/EHD3/EPHB2/EPM2A/ERBB2/ETV5/FARP1/FCHO2/FNTA/FRMD8/GIT1/GLRB/GOLGA4/GOLGA7/GPC1/GPC2/GPC6/GPHN/GPR158/GPSM2/GRIK2/GRIN2C/GSN/HGS/HPS6/HRAS/IKBKB/INS/ITGA4/ITGB1/ITGB7/KCNB1/KCNB2/KCNIP3/KIF2C/KRT18/LAMA5/LDLRAP1/LGALS3/LRP1/LRRC4/LRRC7/LYPLAL1/MACF1/MAGI2/NETO1/NHERF2/NKD2/NLGN1/NLGN2/NRXN1/NRXN2/NSF/NSG1/OLFM1/PACS1/PACS2/PALM/PALS1/PDPK1/PHAF1/PIK3CA/PIP5K1A/PKDCC/PKP3/PLEKHF1/PLS1/PPFIA1/PPP2R5A/PRAM1/PRKCE/PRKCH/PRKCZ/PRKN/PTCH1/RAB10/RAB11A/RAB11FIP3/RAB26/RAB8A/RAB8B/RABEP1/RAC1/RAMP1/RAPGEF2/REEP2/RER1/RHBDF2/RHOQ/SCP2/SCRIB/SH3GLB1/SHISA6/SORL1/SPTBN1/SPTBN4/SQSTM1/SSH1/SSNA1/STAC/STX1A/STX3/STX4/STXBP1/SYNGAP1/SYS1/TM9SF2/TMED2/TMEM108/TNFRSF1A/TRARG1/TSPAN14/TTC7A/TTC7B/TUB/VPS26B/VWC2/WDR19/WNK1/WNT3A/ZDHHC22/ZDHHC23/ZDHHC5/ZDHHC7/ZFYVE27",170
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","107/4700","259/18860",0.413127413127413,1.65778361948575,6.1410328767338,4.24899411825785e-09,8.94838161305104e-06,7.31423338392036e-06,"ACTB/AP2A2/AP2M1/AP3D1/AP3S1/AP3S2/ARF6/ATP2A2/ATP6V0A1/ATP6V0C/ATP6V0D1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1F/ATP6V1G1/BLOC1S6/BLTP1/BRSK1/BRSK2/BSN/BTBD8/BTBD9/CACNA1B/CALM1/CALM3/CALY/CANX/CAPN2/CLTB/CPLX1/CPLX2/CPLX3/CTNNB1/DGKQ/DNAJC5/DNAJC6/DNM1/DNM2/DNM3/DOC2A/DRD4/DVL1/EFR3A/FBXO45/FCHO2/GIT1/GRIK5/HPCA/ITGB3/LRRK2/MDM2/MKLN1/NLGN1/NLGN2/NRG1/NRXN1/NSG1/OSBPL2/PARK7/PCDH17/PIK3C3/PLD2/PPFIA3/PPP3CC/PRKCB/PRKN/PTEN/RAB11A/RAB4A/RAB8A/RABEP1/RAC1/RAP1B/RAPGEF4/RIMS1/RIMS2/RPH3AL/SCRIB/SLC18A2/SLC2A4/SLC4A8/SNAP23/SNAP47/SNCB/SNPH/SNX9/STX11/STX1A/STX3/STXBP1/STXBP2/STXBP3/STXBP5/SV2B/SYNDIG1/SYNGR3/SYNJ2/SYT1/SYT17/SYT9/TAMALIN/TBC1D24/TPRG1L/UNC13A/UNC13B/WNT3A",107
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","169/4700","461/18860",0.366594360086768,1.47105736834818,5.89934489271439,9.79257575194896e-09,1.54673734002034e-05,1.26427306944899e-05,"ACTB/ACTL6A/ACVR1B/ANAPC11/ANAPC2/ANLN/APC/APPL1/ARID1A/ARID1B/ARID2/ATAD5/ATM/BABAM1/BABAM2/BCL7A/BRSK1/BRSK2/BUB1B/BUB3/CALM1/CALM3/CCDC57/CCNA1/CCNB1/CCND1/CCND2/CCNE1/CCNF/CCNG2/CCNJ/CCNJL/CCNY/CDC14A/CDC14C/CDC16/CDC20/CDC25B/CDC34/CDC6/CDC7/CDC73/CDK10/CDK14/CDKN1B/CDKN2C/CDKN3/CENPF/CHEK1/CHFR/CHMP2A/CHMP7/CKS2/CPSF3/CTDSP1/CTDSPL/CUL1/CUL4A/DACT1/DBF4/DGKZ/DNM2/DPF2/DTL/E2F3/EIF4EBP1/EIF4G1/EPS8/FBXL15/FBXO31/FZR1/GEN1/GIGYF2/GPR132/GTPBP4/HASPIN/HEXIM2/HINFP/ID2/ID4/INTS3/ITGB1/JADE1/KDM8/KHDRBS1/KLF11/KMT2E/KNL1/LSM11/MAD1L1/MAD2L2/MARK3/MDM2/MELK/MEPCE/MIIP/MIR193A/MIR638/MTA3/MYB/NABP1/NABP2/NEK6/NFIA/NOP53/NSMCE2/PABIR1/PBX1/PDIK1L/PKD1/PKD2/PLCB1/PLK1/PLK3/PLK5/POLE/PPM1D/PPME1/PPP2R2D/PRKDC/PSME1/PSME2/PSME3/PSMG2/PTEN/PTENP1-AS/RAB11A/RB1/RBBP8/RBL2/RCC1/RHOU/RPS6KB1/RRM2/SENP2/SKA1/SMARCA2/SMARCA4/SMARCD1/SMARCD2/SMC5/SPAST/SPC25/SPDL1/SPDYA/TACC3/TAOK1/TAOK2/TAOK3/TCF3/TFDP1/TICRR/TMEM14B/TMOD3/TPD52L1/TPRA1/TRIM39/TRIP13/TTK/UBE2E2/UBE2S/USP29/USP38/WAC/WEE1/XRCC3/ZFYVE19/ZNF655/ZNF830",169
"GO:1990778","GO:1990778","protein localization to cell periphery","139/4700","365/18860",0.380821917808219,1.52814922763043,5.87019524050127,1.35742861534201e-08,1.71524679834617e-05,1.4020094288143e-05,"ABCA2/ACSL3/ACTB/AKAP5/AKT2/ANK3/AP2M1/AP4M1/APPL1/ARF6/ARFRP1/ARHGAP44/ARL13B/ATP1B1/ATP1B3/ATP2B4/ATP2C1/ATP2C2/BAG4/BSG/CACNA2D2/CACNB2/CACNB3/CAV1/CLTC/CNIH3/CNPY4/CNST/COMMD1/CPLX1/CSK/DAG1/DENND4C/DPP10/DPP6/EFR3A/EFR3B/EHD2/EHD3/EIF4G1/EPB41/EPHB2/EPM2A/ERBB2/FCHO2/FRMD8/GIT1/GNAI1/GOLGA4/GOLGA7/GPC6/GPHN/GPR158/GPSM2/GRIN2C/HRAS/IKBKB/INS/ITGB1/KCNB1/KCNB2/KCNIP3/KIF2C/KRT18/LAMA5/LDLRAP1/LGALS3/LRP1/LRRC7/LYPLAL1/MACF1/NETO1/NHERF2/NKD2/NRXN1/NSF/NSG1/NUBP1/OLFM1/PACS1/PACS2/PALM/PALS1/PDPK1/PHAF1/PIP5K1A/PKDCC/PKP3/PLEKHF1/PLK1/PLS1/PPFIA1/PPP2R5A/PRAM1/PRKCE/PRKCH/PRKCZ/PTCH1/RAB10/RAB11A/RAB11FIP3/RAB26/RAB8A/RABEP1/RAC1/RAMP1/RAPGEF2/RER1/RHBDF2/RHOQ/SCP2/SCRIB/SORL1/SPTBN1/SPTBN4/SQSTM1/STAC/STX3/STX4/STXBP1/SYS1/TMED2/TMEM108/TNFRSF1A/TRARG1/TSPAN14/TTC7A/TTC7B/TUB/VPS26B/VWC2/WDR19/WNK1/WNT3A/ZDHHC22/ZDHHC23/ZDHHC5/ZDHHC7/ZFYVE27",139
"GO:0140014","GO:0140014","mitotic nuclear division","112/4700","281/18860",0.398576512455516,1.59939426061937,5.83218384085677,2.02507515029708e-08,2.13240413326282e-05,1.74298573462412e-05,"AKAP8L/ANAPC11/ANKLE2/ANKRD53/ANLN/APC/ARHGEF10/ATM/BANF1/BCCIP/BMP4/BORA/BROX/BUB1B/BUB3/CAV2/CCDC86/CCNB1/CDC14A/CDC14C/CDC16/CDC20/CDC42/CDKN1B/CDT1/CENPF/CEP192/CHAMP1/CHEK1/CHMP2A/CHMP2B/CHMP5/CHMP6/CHMP7/CUL7/DIS3L2/DMRT1/EDN3/EML3/EML4/EPS8/FGF8/GEN1/GOLGA2/HASPIN/HSPA1A/IGF2/INS/KAT2B/KATNB1/KIF11/KIF22/KIF25/KIF2A/KIF2C/KIF4B/KIFC1/KLHDC8B/KMT5A/KNL1/L3MBTL1/LSM14A/MAD1L1/MAD2L2/MAPRE1/MIS12/MYBL2/NCAPG/NCAPH/NDEL1/NEK2/NFIA/NIPBL/NSMCE2/NUDC/NUSAP1/OBSL1/PHF13/PIBF1/PIN1/PLK1/PPP2R1A/PPP2R2D/PRICKLE1/PSMG2/RAB11A/RAN/RB1/RCC1/REEP3/RHOA/SEH1L/SH2B1/SKA1/SMARCA5/SMC4/SPAST/SPC25/SPDL1/SPHK1/TENT4A/TOM1L1/TPX2/TRIP13/TTK/TUBG1/TUBG2/UBE2I/UBE2S/UBXN2B/UHRF1/XRCC3",112
"GO:0099504","GO:0099504","synaptic vesicle cycle","91/4700","220/18860",0.413636363636364,1.65982591876209,5.67145368851876,5.55228308463442e-08,4.69634232436434e-05,3.83869902922834e-05,"ACTB/AP2A2/AP2M1/AP3D1/AP3S1/AP3S2/ARF6/ATP2A2/ATP6V0A1/ATP6V0C/ATP6V0D1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1F/ATP6V1G1/BLOC1S6/BLTP1/BRSK1/BRSK2/BSN/BTBD8/BTBD9/CACNA1B/CALM3/CANX/CAPN2/CLTB/CPLX1/CPLX2/CPLX3/CTNNB1/DGKQ/DNAJC5/DNAJC6/DNM1/DNM2/DNM3/DOC2A/DVL1/EFR3A/FBXO45/FCHO2/GIT1/GRIK5/LRRK2/NLGN1/NLGN2/NRXN1/OSBPL2/PARK7/PCDH17/PIK3C3/PLD2/PPFIA3/PPP3CC/PRKCB/PRKN/PTEN/RAC1/RAP1B/RAPGEF4/RIMS1/RIMS2/RPH3AL/SCRIB/SLC18A2/SLC2A4/SLC4A8/SNAP23/SNAP47/SNCB/SNPH/SNX9/STX11/STX1A/STXBP1/STXBP2/STXBP3/STXBP5/SV2B/SYNDIG1/SYNGR3/SYNJ2/SYT1/SYT9/TBC1D24/TPRG1L/UNC13A/UNC13B/WNT3A",91
"GO:0021953","GO:0021953","central nervous system neuron differentiation","99/4700","245/18860",0.404081632653061,1.62148501953973,5.64103532294357,5.94661896089185e-08,4.69634232436434e-05,3.83869902922834e-05,"ARHGAP35/ARHGEF28/ATF5/ATOH1/B2M/BCL11B/BMP2/BMPR1A/BRSK1/BRSK2/CBLN1/CLN8/CTNNB1/DCLK2/DISC1/DLX1/DRAXIN/DYNC2H1/EFNA1/EMX1/EN2/EPHB1/EPHB2/EPHB3/FBXO45/FGF8/FOXG1/FOXP2/GABRB1/GATA2/GBA1/GDF11/GDF7/GIGYF2/GLI2/GRID2/GSX1/GSX2/HOXD10/ID4/ISL1/ITGB1/KNDC1/LBX1/LEP/LHX1/LMO4/LYPD6/MAPT/MDGA1/MIB1/MNX1/NANOS1/NDEL1/NHLH2/NKX2-1/NOTCH1/NR2E1/NRP2/NRXN1/NTRK2/OLIG3/PAFAH1B1/PALS1/PAX7/PHOX2A/PLXNA1/POU4F2/PRDM8/PRKCA/PTCH1/PTEN/PTF1A/RAC1/RAC3/RAPGEF2/SCN1B/SEMA3E/SHH/SLIT2/SOX1/SPAST/SPTBN4/SUFU/TAOK1/TBR1/TFAP2C/TGIF1/TGIF2/TSKU/TULP3/UBB/UNCX/WNT1/WNT3A/WNT5A/WNT9B/ZDHHC16/ZMIZ1",99
"GO:0051656","GO:0051656","establishment of organelle localization","146/4700","400/18860",0.365,1.46465957446809,5.41159977721785,1.32823723206104e-07,8.76749902150831e-05,7.16638346570696e-05,"ACTN4/ACTR10/ADGRE2/ADORA2B/AP3B1/AP3D1/AP3S1/AP3S2/APOLD1/ARFGAP2/ARHGAP21/BBS5/BCCIP/BICD1/BICDL1/BICDL2/BLOC1S3/BLOC1S4/BLOC1S6/BORCS7/BTBD8/CBL/CDC42/CENPA/CHMP2A/COPG1/COPS5/CPLX2/CTNNB1/DNM1/DNM1L/DNM2/DNM3/DYNC1H1/DYNC1I1/EXOC3/EXOC6/FAM91A1/FES/FOXF1/GATA2/GPSM1/GPSM2/HGS/HIF1A/HOOK3/HTT/IL13/IL4R/INPPL1/ITGA4/ITGB1/KIF1A/KIF1B/KIF1C/KIF25/KIFC2/KIT/KXD1/LAMP1/LIN7B/LLGL1/LLGL2/LMNA/LMNB1/LMNB2/LRRK2/MAPRE1/MAPT/MARK1/MCPH1/MLPH/MYH10/MYO1C/MYO7A/NAGLU/NDEL1/NECTIN2/NLGN1/NMD3/NOP9/NPM1/NR4A3/NTN1/NUDC/NUSAP1/OPA1/PAFAH1B1/PARD3B/PDCD6/PDCD6IP/PDPK1/PIK3CD/PINK1/PKD1/PLK1/PRKN/RAB11A/RAB11B/RAB17/RAB27A/RABGEF1/RAN/RHOT1/RHOT2/RIPOR1/RPS15/SCRIB/SKA1/SLC18A2/SLC2A4/SNAP23/SPAST/SPDL1/SPHK2/SPIRE2/STK11/STXBP1/STXBP2/STXBP3/SUN1/SYK/TACC1/TACC2/TACC3/TANC2/TCIRG1/TESK1/TFG/TMED2/TMED9/TMEM201/TRAK1/TRAPPC11/TRAPPC5/TRAPPC6A/TRAPPC9/TRIM46/TSPAN9/UBB/UBXN2B/UNC13A/UNC13B/WDR11/YWHAZ/ZBED3",146
"GO:0000819","GO:0000819","sister chromatid segregation","94/4700","233/18860",0.40343347639485,1.61888412017167,5.47636612175506,1.38770164949483e-07,8.76749902150831e-05,7.16638346570696e-05,"ACTB/ACTL6A/AKAP8L/ANAPC11/ANAPC2/ANKRD53/APC/ARHGEF10/ARID1A/ARID1B/ARID2/ATM/BCCIP/BCL7A/BUB1B/BUB3/CCNB1/CDC16/CDC20/CDC6/CDT1/CENPF/CEP192/CHAMP1/CHFR/CHMP2A/CHMP2B/CHMP5/CHMP6/CHMP7/DIS3L2/DPF2/EML3/EML4/GEN1/GOLGA2/HASPIN/HSPA1A/KAT2B/KATNB1/KIF11/KIF22/KIF25/KIF2A/KIF2C/KIF4B/KIFC1/KMT5A/KNL1/LSM14A/MAD1L1/MAD2L2/MAPRE1/MIS12/MYBL2/NCAPG/NCAPH/NEK2/NEK6/NIPBL/NSMCE2/NUDC/NUSAP1/PHF13/PIBF1/PLK1/PPP2R1A/PRICKLE1/PSMG2/RAB11A/RAN/RB1/RCC1/RHOA/RMI2/SEH1L/SKA1/SMARCA2/SMARCA4/SMARCA5/SMARCD1/SMARCD2/SMC4/SPC25/SPDL1/TACC3/TENT4A/TPX2/TRIP13/TTK/TUBG1/TUBG2/UHRF1/XRCC3",94
